epoch,L_eye,R_eye,loss,lr,mouth,spine,tail,val_L_eye,val_R_eye,val_loss,val_mouth,val_spine,val_tail
0,0.0004925855901092291,0.0005197280552238226,0.0005229986272752285,1e-04,0.0006203548982739449,0.0007663533906452358,0.0002159705472877249,0.0005525961169041693,0.0003733897174242884,0.0005385478725656867,0.0007128866272978485,0.0009085269412025809,0.00014534012007061392
1,0.0004395466821733862,0.0004261927679181099,0.0004673893272411078,1e-04,0.0005379728972911835,0.0007703349692746997,0.00016289972700178623,0.0003940668539144099,0.00043357821414247155,0.00038664499879814684,0.0005424111732281744,0.00043497103615663946,0.00012819758558180183
2,0.0004699824785348028,0.0004645654989872128,0.00047967920545488596,1e-04,0.0005818057688884437,0.0007040229393169284,0.00017801971989683807,0.0003651507431641221,0.00032272469252347946,0.00042311259312555194,0.0004660865815822035,0.0007368132355622947,0.00022478747996501625
3,0.00047860509948804975,0.0005192949902266264,0.0005222555482760072,1e-04,0.0005988479242660105,0.0008103961008600891,0.00020413265156093985,0.0005788264679722488,0.0005146923940628767,0.0005800370126962662,0.0006892182864248753,0.0009011005167849362,0.00021634744189213961
4,0.000479932758025825,0.0004848934768233448,0.0004899646155536175,1e-04,0.000578083680011332,0.0007387247169390321,0.0001681893627392128,0.0003734487690962851,0.00020282391051296145,0.00028737643151544034,0.00034924884676001966,0.0003997544990852475,0.00011160626308992505
5,0.00036732963053509593,0.0003754039644263685,0.00040998231270350516,1e-04,0.00047555009950883687,0.0006751649780198932,0.00015646388055756688,0.00044294592225924134,0.00028931358247064054,0.0005130512290634215,0.0006931391544640064,0.0009933183901011944,0.00014653895050287247
6,0.0005545177846215665,0.0005449251038953662,0.0005801830557174981,1e-04,0.0006963471532799304,0.0008770652930252254,0.0002280602348037064,0.00030755449552088976,0.00031529340776614845,0.00038012172444723547,0.0005690206889994442,0.0006233062013052404,8.543390140403062e-05
7,0.0004932562005706131,0.0005040502292104065,0.0005199981387704611,1e-04,0.0006121049518696964,0.0007938744965940714,0.00019670491747092456,0.0003524963394738734,0.0004012110293842852,0.0003989601391367614,0.00040740592521615326,0.0007172281038947403,0.00011645945778582245
8,0.00041586210136301816,0.0004302134329918772,0.00045737280743196607,1e-04,0.0005703485803678632,0.0007214642246253788,0.00014897625078447163,0.0008041200344450772,0.0009076498099602759,0.0007682116120122373,0.0011090281186625361,0.0009294411283917725,9.081942698685452e-05
9,0.00044938764767721295,0.00042351518641225994,0.00048145270557142794,1e-04,0.0005531021161004901,0.000807965116109699,0.00017329423280898482,0.0003217458724975586,0.0005744944210164249,0.0004731076187454164,0.0007025558152236044,0.0006437947740778327,0.0001229470653925091
10,0.0004267789772711694,0.0004700502031482756,0.00046772154746577144,5e-05,0.0005714568542316556,0.0007064568344503641,0.0001638654212001711,0.00045655437861569226,0.00034463999327272177,0.0005354600725695491,0.0005355510511435568,0.0011303734499961138,0.00021018147526774555
11,0.00038389352266676724,0.0004212302446831018,0.0004373219271656126,5e-05,0.000507350719999522,0.0006980397156439722,0.0001760956656653434,0.00023504819546360523,0.0003481484018266201,0.0003816691169049591,0.00045005427091382444,0.0007110117003321648,0.00016408316150773317
12,0.0003585468220990151,0.0003970453981310129,0.0004028719267807901,5e-05,0.0005039391689933836,0.000626466004177928,0.00012836164387408644,0.00031166811822913587,0.00047003201325424016,0.00038219415000639856,0.00034525274531915784,0.0005637537688016891,0.0002202640171162784
13,0.00038455220055766404,0.0003687652642838657,0.0004272903606761247,5e-05,0.0004968231078237295,0.0006936819409020245,0.0001926291297422722,0.00023272031103260815,0.00023370140115730464,0.0002987779153045267,0.00035973938065581024,0.000598062586504966,6.966599175939336e-05
14,0.00037790145142935216,0.0004104002146050334,0.00042686527012847364,5e-05,0.00047557111247442663,0.0006964565836824477,0.0001739967701723799,0.00011938544048462063,0.00013983031385578215,0.00025866442592814565,0.00034184157266281545,0.0005370885482989252,0.0001551762397866696
15,0.0003671258164104074,0.0003783490101341158,0.00039635150460526347,5e-05,0.0005326610407792032,0.0005663668271154165,0.0001372543629258871,0.0002717545139603317,0.00021932947856839746,0.00025046226801350713,0.0002888582239393145,0.0003634868189692497,0.00010888240649364889
16,0.00043441311572678387,0.00044461770448833704,0.00046929315431043506,5e-05,0.00055004219757393,0.0007477029575966299,0.00016968933050520718,0.00023371324641630054,0.0002759783819783479,0.0003025177866220474,0.0004786308854818344,0.00044374444405548275,8.052204066189006e-05
17,0.0004185076686553657,0.0004237922257743776,0.00042225277866236866,5e-05,0.0004822149930987507,0.0006430097273550928,0.0001437395840184763,0.0005244239000603557,0.0005801515653729439,0.0005756512982770801,0.0005771992146037519,0.0010265999007970095,0.0001698816631687805
18,0.00034789027995429933,0.00035397722967900336,0.00037869811058044434,5e-05,0.0004399503523018211,0.0006230867584235966,0.00012858604895882308,0.0004737787239719182,0.0004168915329501033,0.00044049276039004326,0.0005469961324706674,0.0006129456451162696,0.0001518518984084949
19,0.00036465603625401855,0.000381688354536891,0.0004070164286531508,5e-05,0.0005027600564062595,0.0006365967565216124,0.00014938028471078724,0.00021994496637489647,0.0002524138835724443,0.00028669522725977004,0.00036880793049931526,0.00048360234359279275,0.00010870700498344377
20,0.00038896454498171806,0.00040189357241615653,0.0004222869756631553,5e-05,0.0005108697223477066,0.0006480686133727431,0.00016163790132850409,0.0006756944349035621,0.00043713339255191386,0.0004901798674836755,0.0006330780452117324,0.0005586373154073954,0.0001463563385186717
21,0.0003565407532732934,0.00036184460623189807,0.0003890382358804345,2.5e-05,0.00044900772627443075,0.0006330625619739294,0.0001447356044081971,0.0003440809960011393,0.000410242733778432,0.0003736712387762964,0.00046290032332763076,0.0005639596492983401,8.717247692402452e-05
22,0.00037889022496528924,0.000386704778065905,0.00041424474329687655,2.5e-05,0.0004983597318641841,0.000655997428111732,0.00015127245569601655,0.00017789358389563859,0.0002167263737646863,0.00023442199744749814,0.0002768001868389547,0.0004265948664397001,7.409488898701966e-05
23,0.0003444172616582364,0.00039918156107887626,0.00039991887751966715,2.5e-05,0.000500556081533432,0.0006133209099061787,0.00014211973757483065,0.00022949113918002695,0.00022650117170996964,0.0003104820498265326,0.000443381373770535,0.0005498529644683003,0.0001031835563480854
24,0.0003429422213230282,0.0003644430253189057,0.00036991212982684374,2.5e-05,0.0004418632888700813,0.0005736761377193034,0.00012663661618717015,0.0003087528166361153,0.00044709182111546397,0.00037319105467759073,0.0005648217629641294,0.00048600867739878595,5.928024256718345e-05
25,0.0004064790846314281,0.00040092243580147624,0.000419074174715206,2.5e-05,0.00048681438784115016,0.0006487992941401899,0.0001523562823422253,0.00010860176553251222,0.00019161564705427736,0.00021655790624208748,0.0002658235898707062,0.0004446655511856079,7.208294118754566e-05
26,0.00028827067581005394,0.0002897627418860793,0.0003232429444324225,2.5e-05,0.00036864756839349866,0.0005535701639018953,0.00011596348485909402,0.0002952837385237217,0.0003447466006036848,0.0003686693380586803,0.000482275994727388,0.0005891087930649519,0.00013193138875067234
27,0.00039493481745012105,0.00041763894842006266,0.000418280775193125,2.5e-05,0.0005102439899928868,0.0006051404634490609,0.00016344546747859567,0.0003161876811645925,0.00044231500942260027,0.0004310561344027519,0.0004869794356636703,0.0007554201874881983,0.0001543784892419353
28,0.0003618779592216015,0.0003677021886687726,0.0003815676609519869,2.5e-05,0.00042888251482509077,0.0005985211464576423,0.0001508544519310817,0.00037076944136060774,0.0002313651202712208,0.00039289487176574767,0.00045527060865424573,0.0007191369077190757,0.00018793248455040157
29,0.0003029843792319298,0.00030767673160880804,0.00035152194323018193,2.5e-05,0.0004201318370178342,0.0005914705689065158,0.0001353457337245345,0.0002573466335888952,0.00031944186775945127,0.0003357169625815004,0.0004490463179536164,0.0005582836456596851,9.446639887755737e-05
30,0.0003670128062367439,0.0003986030351370573,0.00039841863326728344,2.5e-05,0.00047766175703145564,0.0006197139737196267,0.00012910108489450067,0.00018011603970080614,0.00044870373676531017,0.0003405035240575671,0.000410804757848382,0.0004819559690076858,0.0001809371169656515
31,0.0003704490081872791,0.00041555907228030264,0.0004206655139569193,1.25e-05,0.0005053646164014935,0.0006772781489416957,0.00013467636017594486,0.00035068835131824017,0.0004181669792160392,0.00039509456837549806,0.0004132595204282552,0.0006690482841804624,0.0001243096630787477
32,0.00028822070453315973,0.00028648183797486126,0.0003312003973405808,1.25e-05,0.0003838118864223361,0.0005669865058735013,0.00013050170673523098,0.0003183067892678082,0.00027343782130628824,0.00040007528150454164,0.0005233435658738017,0.0007861357880756259,9.915245755109936e-05
33,0.00030912598595023155,0.00035190669586881995,0.00034113749279640615,1.25e-05,0.00040934255230240524,0.0005209777737036347,0.00011433444160502404,0.00020936144574079663,0.0002541581925470382,0.0003332828637212515,0.0004496677138376981,0.0006305600982159376,0.0001226669264724478
34,0.0003705280541907996,0.0003446674963925034,0.00037818230339325964,1.25e-05,0.0004498146881815046,0.0005820531514473259,0.00014384835958480835,0.0004026442184112966,0.0004238658002577722,0.00044368766248226166,0.000558737083338201,0.0006695801857858896,0.0001636110246181488
35,0.0003366506425663829,0.0003392744401935488,0.00037221473758108914,1.25e-05,0.0004476972098927945,0.0005832728347741067,0.00015417834219988436,0.00023168641200754791,0.0002864850976038724,0.0003932690597139299,0.00028273233328945935,0.0009372844942845404,0.00022815709235146642
